ID;Data;Tipo;Descrição;Categoria;Classificação;Pagamento;Forma de Pagamento;Parcelas;Pagamento Realizado;Valor;Observações;Mês;Ano
1;01/01/2024;Receita;Salário + mini ganhos conta;Entrada;;;;;OK;800,69;-;Janeiro;2024
2;31/12/2023;Receita;Sobra Dezembro 2023;Entrada;;;;;OK;3959,04;-;Janeiro;2024
3;02/01/2024;Receita;Pix Leo;Entrada;;;;;OK;14;-;Janeiro;2024
4;15/01/2024;Receita;Pix Joyce;Entrada;;;;;OK;1000;-;Janeiro;2024
5;20/01/2024;Receita;PPR;Entrada;;;;;OK;1775,27;-;Janeiro;2024
6;01/01/2024;Despesa;Gympass;Cuidados Pessoais;Essencial;À Vista;Débito Nubank;;OK;49,9;-;Janeiro;2024
7;02/01/2024;Despesa;Dinheiro Réveillon;Bar / Restaurante / Churrasco;Extra;À Vista;Pix;;OK;156,1;-;Janeiro;2024
8;04/01/2024;Despesa;Dente do Pai;Saúde;Essencial;À Vista;Pix;;OK;135;Pix para Edna;Janeiro;2024
9;04/01/2024;Despesa;Cobertor Luiza e Maria;Gastos Extras / Diversos;Não Essencial;Parcelado;Pix;5 de 6;OK;55;Pix para Edna (parcela 05/06);Janeiro;2024
10;04/01/2024;Despesa;Camiseta Palmeiras anjinhos;Gastos Extras / Diversos;Não Essencial;Parcelado;Pix;2 de 3;OK;100;Pix para Edna (parcela 02/03);Janeiro;2024
11;04/01/2024;Despesa;Mensalidade Corregiz;Cuidados Pessoais;Essencial;À Vista;Pix;;OK;90;-;Janeiro;2024
12;29/11/2023;Despesa;Parcela Amazon;Gastos Extras / Diversos;Não Essencial;Parcelado;Crédito Nubank;8 de 9;OK;57,97;Parcela 8/9 - Pago dia 04/12/2024;Janeiro;2024
13;29/11/2023;Despesa;Parcela BAW;Roupas e Calçados;Não Essencial;Parcelado;Crédito Nubank;4 de9;OK;53,04;Parcela 4/9 - Pago dia 04/12/2024;Janeiro;2024
14;29/11/2023;Despesa;Parcela Maratona Sorocaba;Gastos Gerais Corrida;Não Essencial;Parcelado;Crédito Nubank;5 de 5;OK;48,13;Parcela 5/5 - Pago dia 04/12/2024;Janeiro;2024
15;29/11/2023;Despesa;Seguro do Carro;Transporte;Essencial;Parcelado;Crédito Nubank;4 de 6;OK;241,78;Parcela 4/6 - Pago dia 04/12/2024;Janeiro;2024
16;29/11/2023;Despesa;Parcela Amazon;Gastos Extras / Diversos;Não Essencial;Parcelado;Crédito Nubank;3 de 8;OK;53,15;Parcela 3/8 - Pago dia 04/12/2024;Janeiro;2024
17;29/11/2023;Despesa;Parcela Buser RJ;Viagens;Não Essencial;Parcelado;Crédito Nubank;3 de 7;OK;49,13;Parcela 3/7 - Pago dia 04/12/2024;Janeiro;2024
18;29/11/2023;Despesa;Parcela Amazon;Gastos Extras / Diversos;Não Essencial;Parcelado;Crédito Nubank;2 de 6;OK;61,78;Parcela 2/6 - Pago dia 04/12/2024;Janeiro;2024
19;29/11/2023;Despesa;Tenis Adidas Adizero Pro 3;Roupas e Calçados;Não Essencial;Parcelado;Crédito Nubank;9 de 12;OK;111,74;Parcela 9/12 - Pago dia 04/12/2024;Janeiro;2024
